name,title,college,url
Ike Agbanusi,Assistant Professor,Colorado College,https://www.coloradocollege.edu/basics/contact/directory/people/agbanusi_ike.html
David Brown,Professor,Colorado College,https://www.coloradocollege.edu/basics/contact/directory/people/brown_david_herbert.html
Janet Burge,Associate Professor,Colorado College,https://www.coloradocollege.edu/basics/contact/directory/people/burge_janet_elizabeth.html
Danielle Ellsworth,Assistant Professor,Colorado College,https://www.coloradocollege.edu/basics/contact/directory/people/ellsworth_danielle.html
Stefan Erickson,Associate Professor,Colorado College,https://www.coloradocollege.edu/basics/contact/directory/people/erickson_stefan.html
Rebecca Garcia,Professor,Colorado College,https://www.coloradocollege.edu/basics/contact/directory/people/garcia_rebecca_elaine.html
Luis David Garcia Puente,Professor,Colorado College,https://www.coloradocollege.edu/basics/contact/directory/people/garcia-puente_luis-david.html
Blake Jackson,Assistant Professor,Colorado College,https://www.coloradocollege.edu/basics/contact/directory/people/jackson_blake.html
Minho Kim,Assistant Professor,Colorado College,https://www.coloradocollege.edu/basics/contact/directory/people/kim_minho.html
Varsha Koushik,Assistant Professor,Colorado College,https://www.coloradocollege.edu/basics/contact/directory/people/koushik_varsha.html
Beth Malmskog,Associate Professor,Colorado College,https://www.coloradocollege.edu/basics/contact/directory/people/malmskog_beth.html
Jane McDougall,Associate Professor,Colorado College,https://www.coloradocollege.edu/basics/contact/directory/people/mcdougall_jane_margaret.html
Molly Moran,Associate Professor,Colorado College,https://www.coloradocollege.edu/basics/contact/directory/people/moran_molly.html
Ben Nye,Assistant Professor,Colorado College,https://www.coloradocollege.edu/basics/contact/directory/people/nye_ben.html
Eddie Price,Visiting Assistant Professor,Colorado College,https://www.coloradocollege.edu/basics/contact/directory/people/price_eddie.html
Flavia Sancier-Barbosa,Associate Professor,Colorado College,https://www.coloradocollege.edu/basics/contact/directory/people/sancier-barbosa_flavia_cabral.html
Cory B Scott,Assistant Professor,Colorado College,https://www.coloradocollege.edu/basics/contact/directory/people/scott_cory-b.html
Mike Siddoway,Professor,Colorado College,https://www.coloradocollege.edu/basics/contact/directory/people/siddoway_mike.html
Ahmed Kamel,Professor,Concordia College,https://www.concordiacollege.edu/directories/faculty-staff/details/dr-ahmed-kamel
Damian Lampl,Assistant Professor,Concordia College,https://www.concordiacollege.edu/directories/faculty-staff/details/dr-damian-lampl
Gregory Tanner,Associate Professor,Concordia College,https://www.concordiacollege.edu/directories/faculty-staff/details/dr-gregory-tanner
Christine Chung,Professor,Connecticut College,https://www.conncoll.edu/directories/faculty-profiles/christine-chung
S. James Lee,Associate Professor,Connecticut College,https://www.conncoll.edu/directories/faculty-profiles/sangyoon-lee
Timothy Becker,Assistant Professor,Connecticut College,https://www.conncoll.edu/directories/faculty-profiles/timothy-becker
Stephen Douglass,Associate Professor,Connecticut College,https://www.conncoll.edu/directories/faculty-profiles/stephen-douglass
Ozgur Izmirli,Professor,Connecticut College,https://www.conncoll.edu/directories/faculty-profiles/ozgur-izmirli
Gary Parker,Professor,Connecticut College,https://www.conncoll.edu/directories/faculty-profiles/gary-parker
William Tarimo,Assistant Professor,Connecticut College,https://www.conncoll.edu/directories/faculty-profiles/william-tarimo
William Barnes,Adjunct Instructor,Connecticut College,https://www.conncoll.edu/directories/faculty-profiles/william-barnes
Thomas Daggett,Adjunct Professor,Connecticut College,https://www.conncoll.edu/directories/faculty-profiles/thomas-daggett
