name,title,college,field,subfields
Srikanth Vemula,Assistant Professor,College of St Benedict,Computer Science,Human-computer interaction|Robotics|Computer graphics|Computational bio & bioinformatics
Eric Ruggieri,Professor,College of the Holy Cross,Mathematics or Statistics,
Alisa DeStefano,Professor,College of the Holy Cross,Mathematics or Statistics,
Wenxin Du,Assistant Professor,College of the Holy Cross,Mathematics or Statistics,
Zack Fitzsimmons,Associate Professor,College of the Holy Cross,Computer Science,Artificial intelligence|Algorithms & complexity|Computational social science
Sharon Frechette,Associate Professor,College of the Holy Cross,Mathematics or Statistics,
Heather Guarnera,Assistant Professor,College of Wooster,Computer Science,Algorithms & complexity|Computer science education
Drew Guarnera,Assistant Professor,College of Wooster,Computer Science,Software engineering|Human-computer interaction
John Musgrave,Visiting Assistant Professor,College of Wooster,Computer Science,
Alex Nord,Assistant Professor,College of Wooster,Computer Science,Computational bio & bioinformatics
Dan Palmer,Professor,College of Wooster,Computer Science,Artificial intelligence
Sofia Visa,Professor,College of Wooster,Computer Science,Machine learning|Computational bio & bioinformatics
Ike Agbanusi,Assistant Professor,Colorado College,Mathematics or Statistics,
David Brown,Professor,Colorado College,Mathematics or Statistics,
Janet Burge,Associate Professor,Colorado College,Computer Science,Software engineering|Artificial intelligence|Computer science education
Danielle Ellsworth,Assistant Professor,Colorado College,Computer Science,High-performance computing|Software engineering|Computer security & privacy|Computer networks
Stefan Erickson,Associate Professor,Colorado College,Mathematics or Statistics,
Rebecca Garcia,Professor,Colorado College,Mathematics or Statistics,
Luis David Garcia Puente,Professor,Colorado College,Mathematics or Statistics,
Blake Jackson,Assistant Professor,Colorado College,Computer Science,Robotics|Natural language processing|Human-computer interaction
Minho Kim,Assistant Professor,Colorado College,Mathematics or Statistics,
Varsha Koushik,Assistant Professor,Colorado College,Computer Science,Human-computer interaction|Computer science education
Beth Malmskog,Associate Professor,Colorado College,Mathematics or Statistics,
Jane McDougall,Associate Professor,Colorado College,Mathematics or Statistics,
Molly Moran,Associate Professor,Colorado College,Mathematics or Statistics,
Ben Nye,Assistant Professor,Colorado College,Computer Science,Machine learning|Natural language processing
Eddie Price,Visiting Assistant Professor,Colorado College,Mathematics or Statistics,
Flavia Sancier-Barbosa,Associate Professor,Colorado College,Mathematics or Statistics,
Cory B Scott,Assistant Professor,Colorado College,Computer Science,Machine learning|Computer science education
Mike Siddoway,Professor,Colorado College,Mathematics or Statistics,
Ahmed Kamel,Professor,Concordia College,Computer Science,Artificial intelligence
Damian Lampl,Assistant Professor,Concordia College,Computer Science,Artificial intelligence|Machine learning|Information retrieval|Computer networks
Gregory Tanner,Associate Professor,Concordia College,Mathematics or Statistics,
Christine Chung,Professor,Connecticut College,Computer Science,Algorithms & complexity
S. James Lee,Associate Professor,Connecticut College,Computer Science,Computer graphics|Visualization
Timothy Becker,Assistant Professor,Connecticut College,Computer Science,Machine learning|Data science|Artificial intelligence|High-performance computing|Algorithms & complexity
Stephen Douglass,Associate Professor,Connecticut College,Computer Science,Machine learning|Computational bio & bioinformatics|Algorithms & complexity
Ozgur Izmirli,Professor,Connecticut College,Computer Science,Information retrieval|Computer vision|Human-computer interaction|Robotics
Gary Parker,Professor,Connecticut College,Computer Science,Artificial intelligence|Robotics
William Tarimo,Assistant Professor,Connecticut College,Computer Science,Artificial intelligence|Machine learning|Robotics
William Barnes,Adjunct Instructor,Connecticut College,Computer Science,Computer security & privacy
Thomas Daggett,Adjunct Professor,Connecticut College,Computer Science,Computer architecture|Distributed systems|Software engineering
Robert Peitzsch,Adjunct Professor,Connecticut College,Computer Science,Computational bio & bioinformatics
John Schaeffer,Adjunct Instructor,Connecticut College,Computer Science,Computer networks|Computer security & privacy
Leon Tabak,Professor,Cornell College,Computer Science,
Ajit Chavan,Associate Professor,Cornell College,Computer Science,Distributed systems
Lauren Jepsen,Assistant Professor,Cornell College,Computer Science,
Jeff Humphries,Professor,Covenant College,Computer Science,Computer security & privacy
Zeyu Zhou,Visiting Assistant Professor,Covenant College,Computer Science,Machine learning|Algorithms & complexity|Artificial intelligence
Raghu Ramanujan,Associate Professor,Davidson College,Computer Science,Artificial intelligence|Machine learning
Matthew Bachmann,Visiting Assistant Professor,Davidson College,Mathematics or Statistics,
Heather Blake,Associate Professor,Davidson College,Mathematics or Statistics,
Tim Chartier,Professor,Davidson College,Mathematics or Statistics,
Angel Chavez,Assistant Professor,Davidson College,Mathematics or Statistics,
Laurie Heyer,Associate Professor,Davidson College,Computer Science,Computational bio & bioinformatics|Data science
Terrence Lim,Assistant Professor,Davidson College,Computer Science,Programming languages|Software engineering|Measurement & performance analysis
Hammurabi Mendes,Associate Professor,Davidson College,Computer Science,Distributed systems|Computer architecture
Catherine Nemitz,Assistant Professor,Davidson College,Computer Science,Embedded & real-time systems
Tabitha Peck,Associate Professor,Davidson College,Computer Science,Human-computer interaction|Computer graphics
Jonad Pulaj,Associate Professor,Davidson College,Computer Science,Algorithms & complexity
Katy Williams,Assistant Professor,Davidson College,Computer Science,Visualization|Human-computer interaction
Ana Wright,Assistant Professor,Davidson College,Mathematics or Statistics,
Carl Yerger,Professor,Davidson College,Mathematics or Statistics,
Yan Zhuang,Associate Professor,Davidson College,Mathematics or Statistics,
Michael Chavrimootoo,Assistant Professor,Denison University,Computer Science,Artificial intelligence|Algorithms & complexity|Computational social science|Economics & computation
Flannery Currin,Assistant Professor,Denison University,Computer Science,Human-computer interaction
Mikey Goldweber,Professor,Denison University,Computer Science,
David Kahn,Assistant Professor,Denison University,Computer Science,Programming languages|Logic & verification
Matt Kretchmar,Professor,Denison University,Computer Science,Artificial intelligence|Machine learning
Ashwin Lall,Professor,Denison University,Computer Science,Algorithms & complexity|Databases
Ali Miller,Instructor,Denison University,Computer Science,
Stacey Truex,Assistant Professor,Denison University,Computer Science,Machine learning|Computer security & privacy
Paul Bible,Assistant Professor,DePauw University,Computer Science,Computational bio & bioinformatics
Chad Byers,Associate Professor,DePauw University,Computer Science,
Mehmet Gulum,Assistant Professor,DePauw University,Computer Science,Machine learning|Computer vision|Data science
Brian Howard,Associate Professor,DePauw University,Computer Science,Programming languages|Logic & verification
Allana Johnson,Instructor,DePauw University,Computer Science,
Khadija Stewart,Professor,DePauw University,Computer Science,
Scott Thede,Professor,DePauw University,Computer Science,Artificial intelligence|High-performance computing
Gloria Townsend,Professor,DePauw University,Computer Science,Robotics|Computer science education|Artificial intelligence
Grant Braught,Professor,Dickinson College,Computer Science,Artificial intelligence|Robotics|Computer science education
Matt Ferland,Assistant Professor,Dickinson College,Computer Science,Algorithms & complexity|Computer science education
Dick Forrester,Professor,Dickinson College,Mathematics or Statistics,
William Goble,Lecturer,Dickinson College,Computer Science,Software engineering|Mobile computing|Data science
John MacCormick,Professor,Dickinson College,Computer Science,Computer vision|Distributed systems|Computer science education
Farhan Siddiqui,Associate Professor,Dickinson College,Computer Science,Computer networks|Mobile computing|Information retrieval|Computer security & privacy
Barry Burd,Professor,Drew University,Computer Science,Programming languages|Quantum computing
Valerie Siyuan Feng,Assistant Professor,Drew University,Computer Science,Algorithms & complexity|Computer networks
Chris Gibbs,Adjunct Professor,Drew University,Computer Science,
Prasad Kothapalli,Adjunct Professor,Drew University,Computer Science,
Diane Liporace,Assistant Teaching Professor,Drew University,Computer Science,
Yi Lu,Associate Professor,Drew University,Computer Science,
Fred Meyer,Adjunct Professor,Drew University,Computer Science,
Adam Michlin,Assistant Professor,Drew University,Computer Science,Computer science education
Alex Rudniy,Associate Professor,Drew University,Computer Science,Natural language processing|Data science
Debanjali Banerjee,Assistant Professor,Earlham College,Computer Science,Machine learning|Computer vision
Doug Harms,Instructor,Earlham College,Computer Science,Computer networks|Computer graphics|Computer science education|Computational social science
Charlie Peck,Associate Professor,Earlham College,Computer Science,High-performance computing|Computational bio & bioinformatics|Visualization
Fatemeh Valizadeh Gamchi,Assistant Professor,Earlham College,Computer Science,Data science
Yunting Yin,Assistant Professor,Earlham College,Computer Science,Natural language processing|Computer vision|Data science
Injoo Kim,Associate Professor,East-West University,Computer Science,Artificial intelligence|Computer security & privacy|Software engineering
Julie Zhang,Associate Professor,East-West University,Computer Science,Machine learning|Computer vision
Komal Vashisht,Adjunct Instructor,East-West University,Computer Science,
Fran Casillas,Adjunct Professor,East-West University,Computer Science,
Kelly R. Debure,Professor,Eckerd College,Computer Science,Computer vision|Data science|Visualization
Michael L Hilton,Associate Professor,Eckerd College,Computer Science,Data science|Machine learning
Holger Mauch,Professor,Eckerd College,Computer Science,Algorithms & complexity|Computational bio & bioinformatics
Robert Beasley,Professor,Franklin College,Computer Science,Software engineering
Kerry Smith,Professor,Franklin College,Computer Science,High-performance computing|Programming languages
Justin D Brody,Assistant Professor,Franklin & Marshall College,Computer Science,Artificial intelligence
Jing Hu,Associate Professor,Franklin & Marshall College,Computer Science,Computational bio & bioinformatics|Machine learning
Emily K Jensen,Assistant Professor,Franklin & Marshall College,Computer Science,Artificial intelligence|Machine learning|Logic & verification
Jacob Logas,Assistant Professor,Franklin & Marshall College,Computer Science,Computer security & privacy|Human-computer interaction
Brad McDanel,Assistant Professor,Franklin & Marshall College,Computer Science,Machine learning|Computer architecture|Distributed systems
Ed Novak,Associate Professor,Franklin & Marshall College,Computer Science,Computer security & privacy|Computer science education
Tony J Weaver,Adjunct Senior Instructor,Franklin & Marshall College,Computer Science,Operating systems|Computer networks|Distributed systems|Measurement & performance analysis
Willie Wilson,Assistant Professor,Franklin & Marshall College,Computer Science,Robotics|Artificial intelligence
Andrea Tartaro,Professor,Furman University,Computer Science,Computer science education|Human-computer interaction
Chris Alvin,Associate Professor,Furman University,Computer Science,Artificial intelligence|Computer science education|Software engineering
Rebecca Drucker,Assistant Professor,Furman University,Computer Science,Computer networks|Computational bio & bioinformatics
Syed Fahad Sultan,Assistant Professor,Furman University,Computer Science,Machine learning|Data science|Computational social science
Kevin Treu,Professor,Furman University,Computer Science,
Sunghee Sunny Kim,Professor,Gettysburg College,Computer Science,Computer graphics|Visualization
Ivaylo Ilinkin,Professor,Gettysburg College,Computer Science,Computational bio & bioinformatics|Computer graphics|Human-computer interaction|Computer science education|Algorithms & complexity
Todd W. Neller,Professor,Gettysburg College,Computer Science,Artificial intelligence|Games & interactive art
Clif Presser,Associate Professor,Gettysburg College,Computer Science,Visualization
Daniel White,Lecturer,Gettysburg College,Computer Science,
Jonathan Hoffman,Adjunct Instructor,Gettysburg College,Mathematics or Statistics,
Russell C. Bjork,Professor,Gordon College,Computer Science,
Irvin J. Levy,Professor,Gordon College,Mathematics or Statistics,
Jonathan R. Senning,Professor,Gordon College,Computer Science,High-performance computing
Jill Zimmerman,Professor,Goucher College,Computer Science,Programming languages|Robotics
Mohammad Naderi Dehkordi,Associate Professor,Goucher College,Computer Science,Artificial intelligence|Machine learning|Computer security & privacy
Thomas Kelliher,Associate Professor,Goucher College,Computer Science,Embedded & real-time systems|Computer architecture|Mobile computing
Robert Lewand,Professor,Goucher College,Computer Science,
Peter-Michael Osera,Associate Professor,Grinnell College,Computer Science,Programming languages|Computer science education|Human-computer interaction
Ali Allami,Associate Professor,Grinnell College,Computer Science,Distributed systems|Computer security & privacy
Eric Autry,Assistant Professor,Grinnell College,Computer Science,
Charlie Curtsinger,Associate Professor,Grinnell College,Computer Science,Computer security & privacy|Measurement & performance analysis|Distributed systems
Nicole Eikmeier,Associate Professor,Grinnell College,Mathematics or Statistics,
