name,title,college,field,subfields
Sheng Tan,Associate Professor,Trinity University,Computer Science,Mobile computing|Computer security & privacy|Human-computer interaction
Eva Tuba,Assistant Professor,Trinity University,Computer Science,Machine learning|Computer vision|Artificial intelligence
Yu Zhang,Professor,Trinity University,Computer Science,Artificial intelligence
Matt Anderson,Associate Professor,Union College (NY),Computer Science,Algorithms & complexity|Logic & verification|Computational bio & bioinformatics|Quantum computing|Artificial intelligence
Aaron Cass,Associate Professor,Union College (NY),Computer Science,Human-computer interaction|Software engineering
Georgia Doing,Visiting Assistant Professor,Union College (NY),Computer Science,Machine learning|Data science|Computational bio & bioinformatics
Chris Fernandes,Professor,Union College (NY),Computer Science,Databases|Data science
Shruti Mahajan,Assistant Professor,Union College (NY),Computer Science,Human-computer interaction
John Rieffel,Professor,Union College (NY),Computer Science,Robotics|Artificial intelligence
TJ Schlueter,Visiting Assistant Professor,Union College (NY),Computer Science,Artificial intelligence|Economics & computation
Kristina Striegnitz,Associate Professor,Union College (NY),Computer Science,Natural language processing|Robotics|Computer science education
Arjun Viswanathan,Visiting Assistant Professor,Union College (NY),Computer Science,Logic & verification
Nick Webb,Associate Professor,Union College (NY),Computer Science,Natural language processing|Robotics|Computer science education
Jennifer Polack,Professor,University of Mary Washington,Computer Science,Computer science education|Games & interactive art|Computer graphics
Karen Anewalt,Professor,University of Mary Washington,Computer Science,Computer science education
Stephen Davies,Professor,University of Mary Washington,Computer Science,Data science|Computational social science
Andrew Marshall,Associate Professor,University of Mary Washington,Computer Science,Logic & verification|Artificial intelligence|Cryptography
Ian Finlayson,Associate Professor,University of Mary Washington,Computer Science,Computer architecture|Computer science education
Xin-Wen Wu,Associate Professor,University of Mary Washington,Computer Science,Computer security & privacy|Cryptography
Jessica Zeitz,Associate Professor,University of Mary Washington,Computer Science,Data science|Visualization
Prashant Chandrasekar,Assistant Professor,University of Mary Washington,Computer Science,Artificial intelligence|Human-computer interaction
Evan Coleman,Assistant Professor,University of Mary Washington,Computer Science,High-performance computing|Machine learning|Computer architecture|Distributed systems|Algorithms & complexity
Josh Clements,Lecturer,University of Mary Washington,Computer Science,Artificial intelligence|Human-computer interaction
Gusty Cooper,Lecturer,University of Mary Washington,Computer Science,Operating systems|Computer architecture
Peter Dolan,Associate Professor,University of Minnesota Morris,Mathematics or Statistics,
Wenkai Guan,Assistant Professor,University of Minnesota Morris,Computer Science,Machine learning|Computer architecture
Kristin Lamberty,Associate Professor,University of Minnesota Morris,Computer Science,Human-computer interaction
Elena Machkasova,Associate Professor,University of Minnesota Morris,Computer Science,Programming languages|Computer science education
Nic McPhee,Professor,University of Minnesota Morris,Computer Science,Artificial intelligence
Kevin Sanft,Professor,University of North Carolina Asheville,Computer Science,High-performance computing
Marietta Cameron,Professor,University of North Carolina Asheville,Computer Science,Computer vision|Computer graphics|Artificial intelligence
Kenneth Bogert,Associate Professor,University of North Carolina Asheville,Computer Science,Robotics|Machine learning|Artificial intelligence
Farzana Rashid,Assistant Professor,University of North Carolina Asheville,Computer Science,Natural language processing|Information retrieval
Michael Sarris,Lecturer,University of North Carolina Asheville,Computer Science,
Sarah Van Wart,Assistant Professor,University of North Carolina Asheville,Computer Science,Human-computer interaction|Computational social science|Computer science education|Software engineering|Information retrieval
Adam Whitley,Assistant Professor,University of North Carolina Asheville,Computer Science,Algorithms & complexity|Data science
Baha Alsaify,Visiting Assistant Professor,University of Puget Sound,Computer Science,Computer security & privacy|Machine learning
America Chambers,Associate Professor,University of Puget Sound,Computer Science,Machine learning|Natural language processing
Sunita Chepuri,Assistant Professor,University of Puget Sound,Mathematics or Statistics,
David Chiu,Professor,University of Puget Sound,Computer Science,Distributed systems|Data science|High-performance computing
Cynthia Gibson,Visiting Assistant Professor,University of Puget Sound,Mathematics or Statistics,
Sara Johnson,Visiting Assistant Professor,University of Puget Sound,Mathematics or Statistics,
Marissa Masden,Assistant Professor,University of Puget Sound,Computer Science,Machine learning|Computational bio & bioinformatics
Alison Paradise,Instructor,University of Puget Sound,Mathematics or Statistics,
Jake Price,Associate Professor,University of Puget Sound,Mathematics or Statistics,
Adam Smith,Associate Professor,University of Puget Sound,Computer Science,Machine learning|Computational bio & bioinformatics
Maddie Weinstein,Assistant Professor,University of Puget Sound,Mathematics or Statistics,
Douglas Szajda,Associate Professor,University of Richmond,Computer Science,Computer security & privacy|Distributed systems|Artificial intelligence
Prateek Bhakta,Associate Professor,University of Richmond,Computer Science,Algorithms & complexity|Machine learning|Computer security & privacy
M Charity,Assistant Professor,University of Richmond,Computer Science,Artificial intelligence|Games & interactive art|Programming languages
Arthur Charlesworth,Professor,University of Richmond,Computer Science,Artificial intelligence|Programming languages
Catherine Finegan-Dollak,Assistant Professor,University of Richmond,Computer Science,Natural language processing|Artificial intelligence|Machine learning
Yucong Jiang,Associate Professor,University of Richmond,Computer Science,Data science|Information retrieval
Patrick Martin,Assistant Professor,University of Richmond,Computer Science,Robotics
Mmachi Obiorah,Assistant Professor,University of Richmond,Computer Science,Human-computer interaction
Joonsuk Park,Associate Professor,University of Richmond,Computer Science,Natural language processing
William F. Prior,Adjunct Instructor,University of Richmond,Computer Science,Data science
Shweta Ware,Associate Professor,University of Richmond,Computer Science,Mobile computing|Data science|Machine learning
Catherine Cavagnaro,Professor,The University of the South,Mathematics or Statistics,
Stephen Carl,Associate Professor,The University of the South,Computer Science,Programming languages|Games & interactive art
Ross Sowell,Associate Professor,The University of the South,Computer Science,Human-computer interaction|Computer graphics|Computer science education
C Karen,Associate Professor,University of Virginia--Wise,Computer Science,Data science
E Alex,Adjunct Instructor,University of Virginia--Wise,Computer Science,Operating systems|Databases|Programming languages
F David,Senior Instructor,University of Virginia--Wise,Computer Science,Logic & verification|Programming languages
H Robert,Associate Professor,University of Virginia--Wise,Computer Science,Software engineering|Mobile computing|Computer graphics
L Shilpa,Assistant Professor,University of Virginia--Wise,Computer Science,Machine learning|Data science
S Jacob,Professor,University of Virginia--Wise,Computer Science,Human-computer interaction|Computer science education
Nicholas Scoville,Professor,Ursinus College,Mathematics or Statistics,
Susan Adam,Instructor,Ursinus College,Mathematics or Statistics,
David Henry,Instructor,Ursinus College,Computer Science,Computer architecture|Embedded & real-time systems|Software engineering
Olena Kozhushkina,Associate Professor,Ursinus College,Computer Science,
William Mongan,Associate Professor,Ursinus College,Computer Science,Computer science education|Programming languages
Leslie New,Associate Professor,Ursinus College,Mathematics or Statistics,
Christopher Sadowski,Associate Professor,Ursinus College,Mathematics or Statistics,
Eric Mawuena Takyi,Assistant Professor,Ursinus College,Mathematics or Statistics,
Jason Waterman,Associate Professor,Vassar College,Computer Science,Operating systems
Jacob Erickson,Visiting Assistant Professor,Vassar College,Computer Science,Computational social science|Human-computer interaction
Anna Gommerstadt,Assistant Professor,Vassar College,Computer Science,Programming languages|Logic & verification
Jonathan Gordon,Assistant Professor,Vassar College,Computer Science,Natural language processing
Luke Hunsberger,Professor,Vassar College,Computer Science,Artificial intelligence
Peter Lemieszewski,Visiting Assistant Professor,Vassar College,Computer Science,Algorithms & complexity
Heather Newman,Assistant Professor,Vassar College,Computer Science,Algorithms & complexity
Rui Manuel Pacheco Meireles,Assistant Professor,Vassar College,Computer Science,Computer networks|Distributed systems
Marc L. Smith,Professor,Vassar College,Computer Science,Logic & verification|Computational bio & bioinformatics|Programming languages
Logan Stapleton,Assistant Professor,Vassar College,Computer Science,Artificial intelligence|Human-computer interaction|Machine learning
Abdullah Al-Alaj,Assistant Professor,Virginia Wesleyan University,Computer Science,Computer security & privacy|Software engineering
Zizhong J. Wang,Professor,Virginia Wesleyan University,Mathematics or Statistics,
Qixin Deng,Assistant Professor,Wabash College,Computer Science,Computer graphics
Colin McKinney,Associate Professor,Wabash College,Computer Science,
William J. Turner,Associate Professor,Wabash College,Computer Science,Algorithms & complexity|Computer science education
Chad Westphal,Professor,Wabash College,Computer Science,
Ryeongkyung Yoon,Assistant Professor,Wabash College,Computer Science,Machine learning|Artificial intelligence|Data science|Algorithms & complexity
Jim Jacobs,Assistant Professor,Wartburg College,Computer Science,Computer science education|Machine learning|Artificial intelligence|Natural language processing
Terry Letsche,Associate Professor,Wartburg College,Computer Science,
Sara Sprenkle,Associate Professor,Washington and Lee University,Computer Science,Software engineering|Distributed systems
Sana Habib,Visiting Assistant Professor,Washington and Lee University,Computer Science,Computer security & privacy|Computer networks
Simon Levy,Professor,Washington and Lee University,Computer Science,Machine learning
Kefu Lu,Associate Professor,Washington and Lee University,Computer Science,Distributed systems|Algorithms & complexity|Software engineering
Elizabeth Matthews,Associate Professor,Washington and Lee University,Computer Science,
Austin Lobo,Associate Professor,Washington College,Computer Science,Algorithms & complexity
Shaun Ramsey,Professor,Washington College,Computer Science,Computer graphics
Heather Switzer,Assistant Professor,Washington College,Computer Science,High-performance computing
Charles Hannon,Professor,Washington & Jefferson College,Computer Science,Human-computer interaction|Visualization|Design automation
Amanda Holland-Minkley,Professor,Washington & Jefferson College,Computer Science,Artificial intelligence|Computer security & privacy
John Ladd,Assistant Professor,Washington & Jefferson College,Computer Science,Computational social science|Data science
Rebecca Rapp,Assistant Professor,Washington & Jefferson College,Computer Science,Data science|Human-computer interaction|Mobile computing|Visualization
Carolyn Anderson,Assistant Professor,Wellesley College,Computer Science,Natural language processing
Scott Anderson,Associate Teaching Professor,Wellesley College,Computer Science,Artificial intelligence|Natural language processing|Computer graphics
Christine Bassem,Associate Professor,Wellesley College,Computer Science,Distributed systems|Economics & computation
Brian Brubach,Assistant Professor,Wellesley College,Computer Science,Algorithms & complexity|Economics & computation
Vinitha Gadiraju,Assistant Professor,Wellesley College,Computer Science,Human-computer interaction
Catherine Grevet Delcourt,Associate Professor,Wellesley College,Computer Science,Human-computer interaction|Computational social science
Stella Kakavouli,Associate Teaching Professor,Wellesley College,Computer Science,Computer science education|Data science
Peter Mawhorter,Associate Teaching Professor,Wellesley College,Computer Science,Artificial intelligence|Games & interactive art|Programming languages|Computational social science|Human-computer interaction
Sara Melnick,Assistant Teaching Professor,Wellesley College,Computer Science,Computer science education|Human-computer interaction
Panagiotis Metaxas,Professor,Wellesley College,Computer Science,Information retrieval|Cryptography
Eni Mustafaraj,Associate Professor,Wellesley College,Computer Science,Computational social science
Smaranda Sandu,Assistant Teaching Professor,Wellesley College,Mathematics or Statistics,
Orit Shaer,Professor,Wellesley College,Computer Science,Human-computer interaction
Brian Tjaden,Professor,Wellesley College,Computer Science,Computational bio & bioinformatics
Franklyn Turbak,Associate Professor,Wellesley College,Computer Science,Programming languages|Visualization|Computer science education|Human-computer interaction
Jordan Tynes,Assistant Teaching Professor,Wellesley College,Computer Science,Games & interactive art|Human-computer interaction|Computer science education
Alexa VanHattum,Assistant Professor,Wellesley College,Computer Science,Programming languages|Logic & verification|Software engineering|Operating systems
Yaniv Yacoby,Assistant Professor,Wellesley College,Computer Science,Machine learning
Norman Danner,Professor,Wesleyan University,Computer Science,Programming languages|Algorithms & complexity
Daniel Krizanc,Professor,Wesleyan University,Computer Science,Algorithms & complexity
Dan Licata,Associate Professor,Wesleyan University,Computer Science,Programming languages|Logic & verification
James Lipton,Professor,Wesleyan University,Computer Science,Logic & verification|Programming languages
Yuxuan Mei,Assistant Professor,Wesleyan University,Computer Science,Computer graphics|Computational bio & bioinformatics
Sonia Roberts,Assistant Professor,Wesleyan University,Computer Science,Robotics
Sebastian Zimmeck,Associate Professor,Wesleyan University,Computer Science,Computer security & privacy|Natural language processing
Wai Kiu Chan,Professor,Wesleyan University,Mathematics or Statistics,
Victoria Ursula Manfredi,Associate Professor,Wesleyan University,Computer Science,Computer networks|Distributed systems
John P. Bonomo,Professor,Westminster College (PA),Computer Science,Programming languages|Software engineering|Algorithms & complexity
Adam M. Blumenthal,Assistant Professor,Westminster College (PA),Mathematics or Statistics,
Natacha Fontes Merz,Associate Professor,Westminster College (PA),Mathematics or Statistics,
Heather Muchowski,Assistant Professor,Westminster College (PA),Mathematics or Statistics,
Hyunju Kim,Associate Professor,Wheaton College (IL),Computer Science,Software engineering
Devin Pohly,Senior Lecturer,Wheaton College (IL),Computer Science,Computer security & privacy|Computer science education|Human-computer interaction|Operating systems|Programming languages
Thomas VanDrunen,Professor,Wheaton College (IL),Computer Science,Natural language processing|Programming languages|Machine learning
Nicholas Almeder,Visiting Instructor,Wheaton College (MA),Computer Science,
Michael B. Gousie,Professor,Wheaton College (MA),Computer Science,Computer graphics|Visualization
Mark D. LeBlanc,Professor,Wheaton College (MA),Computer Science,Artificial intelligence|Natural language processing
Tony Tong,Assistant Professor,Wheaton College (MA),Computer Science,High-performance computing|Distributed systems|Measurement & performance analysis
William Bares,Associate Professor,Whitman College,Computer Science,Computer graphics|Human-computer interaction|Computer science education
Janet Davis,Professor,Whitman College,Computer Science,Human-computer interaction
Richard Torres Molina,Visiting Instructor,Whitman College,Computer Science,Machine learning|Human-computer interaction
Sachintha Pitigala,Visiting Assistant Professor,Whitman College,Computer Science,Machine learning
John Stratton,Associate Professor,Whitman College,Computer Science,High-performance computing|Measurement & performance analysis
Jordan Wirfs-Brock,Assistant Professor,Whitman College,Computer Science,Human-computer interaction
Fred Agbo,Assistant Professor,Willamette University,Computer Science,Computer science education|Human-computer interaction|Games & interactive art
Rachel A Brown,Assistant Professor,Willamette University,Computer Science,Computer graphics|Computer vision
Haiyan Cheng,Professor,Willamette University,Computer Science,Machine learning|Data science|Computer science education
Calvin K Deutschbein,Assistant Professor,Willamette University,Computer Science,Computer security & privacy
Kristen Gore,Assistant Professor,Willamette University,Mathematics or Statistics,
Hank Ibser,Associate Professor,Willamette University,Mathematics or Statistics,
Heather Kitada Smalley,Associate Professor,Willamette University,Mathematics or Statistics,
Zechariah D Meunier,Assistant Professor,Willamette University,Computer Science,Machine learning|Data science
Jed Rembold,Associate Professor,Willamette University,Computer Science,Data science|Databases
Hendrik Orem,Assistant Professor,Willamette University,Computer Science,Data science
Jeannie Albrecht,Professor,Williams College,Computer Science,Distributed systems|Computer networks|Information retrieval
Daniel Barowy,Associate Professor,Williams College,Computer Science,Programming languages
James Bern,Assistant Professor,Williams College,Computer Science,Robotics|Computer graphics
Rohit Bhattacharya,Assistant Professor,Williams College,Computer Science,Machine learning|Computational bio & bioinformatics
Stephen N. Freund,Professor,Williams College,Computer Science,Programming languages|Software engineering
Mark Hopkins,Associate Professor,Williams College,Computer Science,Natural language processing|Artificial intelligence
Iris Howley,Assistant Professor,Williams College,Computer Science,Human-computer interaction|Information retrieval|Visualization
William Jannen,Associate Professor,Williams College,Computer Science,Databases|Data science|Operating systems|Computer architecture|Distributed systems
Katie Keith,Assistant Professor,Williams College,Computer Science,Natural language processing|Data science|Computational social science
Samuel McCauley,Associate Professor,Williams College,Computer Science,Algorithms & complexity|Data science|Information retrieval
John Parker,Visiting Professor,Williams College,Computer Science,Computational bio & bioinformatics
Kelly Shaw,Professor,Williams College,Computer Science,Computer architecture
Shikha Singh,Associate Professor,Williams College,Computer Science,Algorithms & complexity|Economics & computation
Aaron Williams,Associate Professor,Williams College,Computer Science,Algorithms & complexity|Games & interactive art
Sunday Ngwobia,Assistant Professor,Wittenberg University,Computer Science,Computer security & privacy|Natural language processing|Machine learning|Artificial intelligence
Theresa Wilson,Professor of Practice,Wittenberg University,Computer Science,Natural language processing
Beau M. Christ,Associate Professor,Wofford College,Computer Science,Machine learning|Computer vision|Data science|Computational bio & bioinformatics
Aaron L. Garrett,Associate Professor,Wofford College,Computer Science,Artificial intelligence
Nicole Tobias,Assistant Professor,Wofford College,Computer Science,
