name,title,college,google_scholar
Gary Parker,Professor,Connecticut College,https://scholar.google.com/citations?user=K5-socsAAAAJ&hl=en
William Tarimo,Assistant Professor,Connecticut College,https://scholar.google.com/citations?user=zkieFRoAAAAJ&hl=en
William Barnes,Adjunct Instructor,Connecticut College,https://scholar.google.com/citations?user=RKIvQUwAAAAJ&hl=en
Thomas Daggett,Adjunct Professor,Connecticut College,https://scholar.google.com/citations?hl=en&user=ma2M5DoAAAAJ
Robert Peitzsch,Adjunct Professor,Connecticut College,https://scholar.google.com/citations?user=Z6gtCbkAAAAJ&hl=en
John Schaeffer,Adjunct Instructor,Connecticut College,https://scholar.google.com/citations?user=TIEVrr8AAAAJ&hl=en
Leon Tabak,Professor,Cornell College,https://scholar.google.com/citations?user=xSrUx2gAAAAJ&hl=en
Ajit Chavan,Associate Professor,Cornell College,https://scholar.google.com/citations?user=V9wvZaAAAAAJ&hl=en
Lauren Jepsen,Assistant Professor,Cornell College,https://scholar.google.com/citations?user=j1kMF48AAAAJ&hl=en
Jeff Humphries,Professor,Covenant College,https://scholar.google.com/citations?hl=en&user=NGNhTDoAAAAJ
Zeyu Zhou,Visiting Assistant Professor,Covenant College,https://scholar.google.com/citations?user=FABI3zwAAAAJ&hl=en
Raghu Ramanujan,Associate Professor,Davidson College,https://scholar.google.com/citations?user=BR02xjoAAAAJ&hl=en
Matthew Bachmann,Visiting Assistant Professor,Davidson College,https://scholar.google.com/citations?user=oTMGqGoAAAAJ&hl=en
Heather Blake,Associate Professor,Davidson College,https://scholar.google.com/citations?hl=en&user=lY3Tje4AAAAJ
Tim Chartier,Professor,Davidson College,https://scholar.google.com/citations?user=fkOJw68AAAAJ&hl=fr
Angel Chavez,Assistant Professor,Davidson College,https://scholar.google.com/citations?user=HX6fcq0AAAAJ&hl=en
Laurie Heyer,Associate Professor,Davidson College,https://scholar.google.com/citations?user=nLTpzGwAAAAJ&hl=en
Terrence Lim,Assistant Professor,Davidson College,https://scholar.google.com/citations?user=AdEsZwsAAAAJ&hl=en
Hammurabi Mendes,Associate Professor,Davidson College,https://scholar.google.com/citations?hl=en&user=DbUta0cAAAAJ
Catherine Nemitz,Assistant Professor,Davidson College,https://scholar.google.com/citations?user=MWcHkkgAAAAJ&hl=en
Tabitha Peck,Associate Professor,Davidson College,https://scholar.google.com/citations?user=0SuFupQAAAAJ&hl=en
Jonad Pulaj,Associate Professor,Davidson College,https://scholar.google.com/citations?user=IwidyRAAAAAJ&hl=en
Katy Williams,Assistant Professor,Davidson College,https://scholar.google.com/citations?user=5Nv3538AAAAJ&hl=en
Ana Wright,Assistant Professor,Davidson College,https://scholar.google.com/citations?user=2yw5_IYAAAAJ
Carl Yerger,Professor,Davidson College,https://scholar.google.com/citations?user=nLTpzGwAAAAJ&hl=en
Yan Zhuang,Associate Professor,Davidson College,https://scholar.google.com/citations?user=yyWvbkIAAAAJ&hl=en
Michael Chavrimootoo,Assistant Professor,Denison University,https://scholar.google.com/citations?hl=en&user=2DquIOcAAAAJ
Flannery Currin,Assistant Professor,Denison University,https://scholar.google.com/citations?user=Rb5fnR0AAAAJ&hl=en
Mikey Goldweber,Professor,Denison University,https://scholar.google.com/citations?hl=en&user=jp5kikYAAAAJ
David Kahn,Assistant Professor,Denison University,https://scholar.google.com/citations?user=vHugl_kAAAAJ&hl=en
Matt Kretchmar,Professor,Denison University,https://scholar.google.com/citations?user=m9cGzYMAAAAJ&hl=en
Ashwin Lall,Professor,Denison University,https://scholar.google.com/citations?user=PwwVdbgAAAAJ&hl=en
Ali Miller,Instructor,Denison University,https://scholar.google.com/citations?user=pRXGG58AAAAJ&hl=en
Stacey Truex,Assistant Professor,Denison University,https://scholar.google.com/citations?user=syy_-fMAAAAJ&hl=en
Paul Bible,Assistant Professor,DePauw University,https://scholar.google.com/citations?user=JdthnagAAAAJ&hl=en
Chad Byers,Associate Professor,DePauw University,https://scholar.google.com/citations?user=2fbFEdIAAAAJ&hl=en
Mehmet Gulum,Assistant Professor,DePauw University,https://scholar.google.com/citations?user=DoxEPT4AAAAJ&hl=en
Brian Howard,Associate Professor,DePauw University,https://scholar.google.com/citations?user=X1AA8HQAAAAJ&hl=en
Allana Johnson,Instructor,DePauw University,
Khadija Stewart,Professor,DePauw University,https://scholar.google.com/citations?user=6SDwQ00AAAAJ&hl=en
Scott Thede,Professor,DePauw University,
Gloria Townsend,Professor,DePauw University,https://scholar.google.com/citations?user=f_OkIosAAAAJ&hl=en
