Name,City,State,ROR,Major,Minor/Concentration,Program Link,Faculty Link,Schedule Link
Monmouth College,Monmouth,IL,03rbn9086,1.0,1.0,https://www.monmouthcollege.edu/academics/computer-science/,https://www.monmouthcollege.edu/academics/computer-science/faculty/,
Morehouse College,Atlanta,GA,02y9g2b52,1.0,0.0,https://morehouse.edu/academics/majors/computer-science/,https://morehouse.edu/academics/majors/computer-science/,https://ssb-prod.ec.morehouse.edu/MC/bwckschd.p_disp_dyn_sched
Mount Holyoke College,South Hadley,MA,031z8pr38,1.0,1.0,https://www.mtholyoke.edu/academics/find-your-program/computer-science,https://www.mtholyoke.edu/directory/faculty-staff?type=5&department=199,https://wadv1.mtholyoke.edu/wadvg/mhc?TYPE=P&PID=ST-XWSTS12A
Muhlenberg College,Allentown,PA,03cqsth74,1.0,1.0,https://www.muhlenberg.edu/academics/mathcs/computerscience/,https://www.muhlenberg.edu/academics/mathcs/computerscience/,https://www.muhlenberg.edu/courseofferings/index.php
New College of Florida,Sarasota,FL,01cbya385,1.0,0.0,https://www.ncf.edu/programs/computer-science/,https://catalog.ncf.edu/undergraduate/natural-sciences/computer-science/#facultytext,https://newcleis.ncf.edu/pls/ncpo/bwckschd.p_disp_dyn_sched
Oakwood University,Huntsville,AL,05s74hd65,1.0,1.0,https://oakwood.edu/academic-experience/school-of-arts-sciences/math-computer-sciences/,https://oakwood.edu/academic-experience/school-of-arts-sciences/math-computer-sciences/,
Oberlin College,Oberlin,OH,05ac26z88,1.0,1.0,https://www.oberlin.edu/arts-and-sciences/departments/computer-science,https://www.oberlin.edu/arts-and-sciences/departments/computer-science/faculty-list,https://banner.cc.oberlin.edu/StudentRegistrationSsb/ssb/term/termSelection?mode=search
Occidental College,Los Angeles,CA,01mxmpy39,1.0,1.0,https://www.oxy.edu/academics/areas-study/computer-science,https://www.oxy.edu/academics/areas-study/computer-science/faculty,https://counts.oxy.edu/public/default.aspx
Ohio Wesleyan University,Delaware,OH,02qj9qr34,1.0,1.0,https://www.owu.edu/academics/departments-programs/department-of-mathematics-and-computer-science/computer-science-general-major/,https://www.owu.edu/academics/departments-programs/department-of-mathematics-and-computer-science/faculty-staff/,https://campus.owu.edu/selfserv/Search/Section?&eventId=CS&department=MATH
Ouachita Baptist University,Arkadelphia,AR,044r07286,1.0,0.0,https://obu.edu/mathcs/index.php,https://obu.edu/mathcs/faculty.php,https://obu.edu/academics/courseschedule.php
Pomona College,Claremont,CA,0074grg94,1.0,1.0,https://www.pomona.edu/academics/departments/computer-science,https://www.pomona.edu/academics/departments/computer-science/faculty-staff,https://hyperschedule.io/
Presbyterian College,Clinton,SC,01s9sxm36,1.0,1.0,https://www.presby.edu/programs/computer-science/,https://www.presby.edu/programs/computer-science/,https://banners.presby.edu/prod/hzskschd.P_SelectSubject
Principia College,Elsah,IL,02venxm51,1.0,1.0,https://www.principiacollege.edu/academics/majors/computer-science,https://www.principiacollege.edu/academics/majors/computer-science,
Randolph College,Lynchburg,VA,02fag2f73,1.0,1.0,https://www.randolphcollege.edu/computer-science/,https://www.randolphcollege.edu/computer-science/,https://inside.randolphcollege.edu/Course_Offerings.aspx
Randolph-Macon College,Ashland,VA,03zstcc67,1.0,1.0,https://www.rmc.edu/academics/areas-of-study/computer-science/,https://www.rmc.edu/about-rmc/college-leadership/offices-departments/computer-science-department/,https://mymaconweb.rmc.edu/m/d/m/5c62616e-9463-484d-8fd8-180250661411/CourseSearch/SearchResults?termcode=2025;42&title=&code=&department=CSCI&faculty=&campus=&additional=&openseats=OpenFull&add=T
Reed College,Portland,OR,00a6ram87,1.0,1.0,https://www.reed.edu/computer-science/,https://www.reed.edu/computer-science/faculty.html,https://solar.reed.edu/class_schedule/
Rhodes College,Memphis,TN,049xfwy04,1.0,1.0,https://www.rhodes.edu/academics/majors-minors/computer-science,https://www.cs.rhodes.edu/people/faculty.html,
Roanoke College,Salem,VA,00jtk7j90,1.0,1.0,https://www.roanoke.edu/majors/computerscience,https://www.roanoke.edu/inside/math_cs_and_physics/computer_science/computer_science_faculty,https://selfservice.roanoke.edu/Student/Courses/Search?subjects=CPSC
Saint Anselm College,Manchester,NH,04eybkn52,1.0,1.0,https://www.anselm.edu/academics/departments-programs/computer-science,https://www.anselm.edu/academics/departments-programs/computer-science/faculty-staff,
Saint Michael's College,Colchester,VT,03b353k89,1.0,1.0,https://www.smcvt.edu/academics/majors-minors-and-curriculum/computer-science/,https://www.smcvt.edu/academics/majors-minors-and-curriculum/computer-science/,https://selfservice.smcvt.edu/Student/Courses/Search?subjects=CS
Saint Vincent College,Latrobe,PA,00amjd520,1.0,1.0,https://cis.stvincent.edu/cis/index/index.php,https://cis.stvincent.edu/cis/DeptInfo/FacultyMenu.php,https://selfservice.stvincent.edu/Student/Courses/Search?subjects=CS
Sarah Lawrence College,Bronxville,NY,04sxj4848,1.0,0.0,https://www.sarahlawrence.edu/undergraduate/science-mathematics/computer-science/,https://www.sarahlawrence.edu/undergraduate/science-mathematics/computer-science/faculty.html,https://my.slc.edu/ICS/Academics/Course_Schedules/UG_Full_Year_Course_Schedule_New.jnz
Skidmore College,Saratoga Springs,NY,04nzrzs08,1.0,1.0,https://www.skidmore.edu/computer_science/index.php,https://www.skidmore.edu/computer-science/faculty/index.php,https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/term/termSelection?mode=search
Smith College,Northampton,MA,0497crr92,1.0,1.0,https://www.smith.edu/academics/computer-science,https://www.smith.edu/academics/computer-science,https://www.smith.edu/academics/programs-courses/course-search
Southern Virginia University,Buena Vista,VA,03a7v0208,1.0,1.0,https://svu.edu/academics/majors-minors/computer-science/,https://svu.edu/academics/majors-minors/computer-science/,https://my.svu.edu/ics/Student_Stuff/
Southwestern University,Georgetown,TX,05gj63w50,1.0,1.0,https://www.southwestern.edu/computer-science/,https://www.southwestern.edu/computer-science/our-faculty/,https://selfservice.southwestern.edu/Student/Courses/Search?subjects=CSC54
Spelman College,Atlanta,GA,02fvaj957,1.0,1.0,https://www.spelman.edu/academics/majors-and-programs/computer-and-information-sciences,https://www.spelman.edu/academics/majors-and-programs/computer-and-information-sciences/faculty,https://ssb-prod.ec.spelman.edu/PROD/bwckschd.p_disp_dyn_sched
St. Lawrence University,Canton,NY,05pvqha70,1.0,1.0,https://www.stlawu.edu/academics/programs/computer-science,https://www.stlawu.edu/offices/math-computer-science-and-statistics/staff,https://www.stlawu.edu/offices/math-computer-science-and-statistics/current-courses-spring-2023
St. Mary's College of Maryland,St. Mary's City,MD,01y2d1w05,1.0,1.0,https://www.smcm.edu/mathcs/,https://inside.smcm.edu/directory/mathcs,https://portal.smcm.edu/CMCPortal/Common/CourseSchedule.aspx
St. Norbert College,De Pere,WI,01hw93t68,1.0,1.0,https://www.snc.edu/academics/natural-sciences/computer-science/,https://www.snc.edu/academics/natural-sciences/computer-science/,https://cwismgmt01.snc.edu:9420/CWIS8P/sncbwckschd.p_disp_dyn_sched
St. Olaf College,Northfield,MN,01q7w1f47,1.0,0.0,https://wp.stolaf.edu/cs/,https://wp.stolaf.edu/cs/faculty-staff/,https://sis.stolaf.edu/sis/public-aclasslab.cfm
Stonehill College,Easton,MA,023288525,1.0,1.0,https://www.stonehill.edu/programs/computer-science/,https://www.stonehill.edu/programs/computer-science/faculty/,https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/term/termSelection?mode=search
