name,title,college,verified_affiliation,scholar_match_status,scholar_citedby,scholar_citedby5y,scholar_hindex,scholar_hindex5y,scholar_i10index,scholar_i10index5y,scholar_interests,scholar_cites_per_year
Eysa Lee,Assistant Professor,Barnard College,Barnard College,matched,787.0,687.0,7.0,7.0,6.0,6.0,Cryptography; Computer Science,"{'2018': 14, '2019': 27, '2020': 51, '2021': 73, '2022': 76, '2023': 123, '2024': 154, '2025': 192, '2026': 69}"
Mark Santolucito,Assistant Professor,Barnard College,"Barnard College,Columbia University",matched,526.0,415.0,13.0,10.0,16.0,11.0,Program Synthesis; Reactive Synthesis; Formal Methods; Computer Music,"{'2014': 5, '2015': 1, '2016': 8, '2017': 8, '2018': 14, '2019': 28, '2020': 43, '2021': 47, '2022': 43, '2023': 91, '2024': 101, '2025': 98, '2026': 34}"
Lucy Simko,Assistant Professor,Barnard College,Barnard College,matched,694.0,592.0,13.0,11.0,13.0,12.0,,"{'2012': 5, '2013': 7, '2014': 5, '2015': 6, '2016': 10, '2017': 3, '2018': 7, '2019': 15, '2020': 41, '2021': 91, '2022': 86, '2023': 74, '2024': 95, '2025': 165, '2026': 81}"
Corey Toler-Franklin,Assistant Professor,Barnard College,"Barnard College,Columbia University",matched,708.0,254.0,8.0,7.0,8.0,7.0,Computer Graphics; Computer Vision; AI; Image Processing; Data Acquisition,"{'2008': 7, '2009': 14, '2010': 23, '2011': 37, '2012': 45, '2013': 37, '2014': 39, '2015': 42, '2016': 50, '2017': 39, '2018': 46, '2019': 27, '2020': 42, '2021': 26, '2022': 37, '2023': 47, '2024': 59, '2025': 56, '2026': 29}"
Tiffany Tseng,Assistant Professor,Barnard College,Barnard College,matched,524.0,367.0,12.0,9.0,16.0,7.0,Human Computer Interaction; Design Education; Interaction Design; Child Computer Interaction,"{'2011': 2, '2012': 5, '2013': 6, '2014': 5, '2015': 24, '2016': 38, '2017': 18, '2018': 11, '2019': 22, '2020': 18, '2021': 27, '2022': 39, '2023': 49, '2024': 83, '2025': 113, '2026': 54}"
Eyad Haj Said,Associate Professor,Beloit College,Mount Mercy University,matched_name,,,,,,,,
Katherine Harris,Assistant Professor,Beloit College,"Principal Scientist, Carelon Research",matched_name,,,,,,,public health; health services research; quality and performance measurement; consumer choice,
Sohaib Kiani,Assistant Professor,Beloit College,"Assistant Professor,Beloit College",matched,33.0,22.0,3.0,2.0,1.0,1.0,Adversarial Machine Learning; causal machine learning,"{'2012': 2, '2013': 2, '2014': 3, '2015': 2, '2016': 1, '2017': 1, '2018': 1, '2019': 3, '2020': 2, '2021': 6, '2022': 8, '2023': 2}"
Tom Stojsavljevic,Assistant Professor,Beloit College,Beloit College,matched_college,,,,,,,19th-century British literature; history of technology; novels; science fiction; Victorian studies,
Ben Stucky,Assistant Professor,Beloit College,,no_match,,,,,,,,
